MEDIDAS	AEROPUERTO_BASE	AEROPUERTO_ESCALA	MOVIMIENTO_AERONAVE	SERVICIO_AEREO	TIME_PERIOD	OBS_VALUE	ESTADO_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION
PASAJEROS	ES70	AT	_T	COMMERCIAL	2020-M01	25290	P	
PASAJEROS	ES70	AT	_T	COMMERCIAL	2020-M02	25888	P	
PASAJEROS	ES70	AT	_T	COMMERCIAL	2020-M03	10455	P	
PASAJEROS	ES70	AT	_T	COMMERCIAL	2020-M04	3	P	
PASAJEROS	ES70	AT	_T	COMMERCIAL	2020-M05	9	P	
PASAJEROS	ES70	AT	_T	COMMERCIAL	2020-M06	1	P	
PASAJEROS	ES70	AT	_T	COMMERCIAL	2020-M07	2680	P	
PASAJEROS	ES70	AT	_T	COMMERCIAL	2020-M08	3809	P	
PASAJEROS	ES70	AT	_T	COMMERCIAL	2020-M09	3097	P	
PASAJEROS	ES70	AT	_T	COMMERCIAL	2020-M10	3681	P	
PASAJEROS	ES70	AT	_T	COMMERCIAL	2020-M11	3491	P	
PASAJEROS	ES70	AT	_T	COMMERCIAL	2020-M12	3842	P	
PASAJEROS	ES70	AT	_T	NON_SCHEDULED	2020-M01	5	P	
PASAJEROS	ES70	AT	_T	NON_SCHEDULED	2020-M02	2	P	
PASAJEROS	ES70	AT	_T	NON_SCHEDULED	2020-M03	491	P	
PASAJEROS	ES70	AT	_T	NON_SCHEDULED	2020-M04	3	P	
PASAJEROS	ES70	AT	_T	NON_SCHEDULED	2020-M05	9	P	
PASAJEROS	ES70	AT	_T	NON_SCHEDULED	2020-M06	1	P	
PASAJEROS	ES70	AT	_T	NON_SCHEDULED	2020-M07	15	P	
PASAJEROS	ES70	AT	_T	NON_SCHEDULED	2020-M08	4	P	
PASAJEROS	ES70	AT	_T	NON_SCHEDULED	2020-M11	5	P	
PASAJEROS	ES70	AT	_T	NON_SCHEDULED	2020-M12	150	P	
PASAJEROS	ES70	AT	_T	SCHEDULED	2020-M01	25285	P	
PASAJEROS	ES70	AT	_T	SCHEDULED	2020-M02	25886	P	
PASAJEROS	ES70	AT	_T	SCHEDULED	2020-M03	9964	P	
PASAJEROS	ES70	AT	_T	SCHEDULED	2020-M07	2665	P	
PASAJEROS	ES70	AT	_T	SCHEDULED	2020-M08	3805	P	
PASAJEROS	ES70	AT	_T	SCHEDULED	2020-M09	3097	P	
PASAJEROS	ES70	AT	_T	SCHEDULED	2020-M10	3681	P	
PASAJEROS	ES70	AT	_T	SCHEDULED	2020-M11	3486	P	
PASAJEROS	ES70	AT	_T	SCHEDULED	2020-M12	3692	P	
PASAJEROS	ES70	AT_LOWG	_T	COMMERCIAL	2020-M01	2	P	
PASAJEROS	ES70	AT_LOWG	_T	COMMERCIAL	2020-M02	2	P	
PASAJEROS	ES70	AT_LOWG	_T	COMMERCIAL	2020-M08	2	P	
PASAJEROS	ES70	AT_LOWG	_T	NON_SCHEDULED	2020-M01	2	P	
PASAJEROS	ES70	AT_LOWG	_T	NON_SCHEDULED	2020-M02	2	P	
