TERRITORIO#es,FLUJO_ENERGIA#es,OBS_VALUE
Lanzarote,Servicios,1324.74
Lanzarote,Residencial,846.7
Lanzarote,Industria,70.6
Fuerteventura,Servicios,1145.57
Fuerteventura,Residencial,548.42
Fuerteventura,Industria,46.01
Gran Canaria,Servicios,4250.34
Gran Canaria,Residencial,3087.88
Gran Canaria,Industria,797.49
Tenerife,Servicios,4525.16
Tenerife,Residencial,3377.94
Tenerife,Industria,527.83
La Gomera,Servicios,82.13
La Gomera,Residencial,82.3
La Gomera,Industria,10.49
La Palma,Servicios,236.15
La Palma,Residencial,294.33
La Palma,Industria,39.26
El Hierro,Servicios,37.21
El Hierro,Residencial,52.91
El Hierro,Industria,13.7
