CANDIDATURAS#es,OBS_VALUE
Partido Socialista Obrero Español (PSOE),23
Coalición Canaria (CC),19
Partido Popular (PP),15
VOX,4
Nueva Canarias - Bloque Canarista (NC-bc),5
Unidas Sí Podemos (USP),0
Dragos Verdes Canarias (DVC),0
Unidos por Gran Canaria (UxGC),0
Partido Animalista con el Medio Ambiente (PACMA),0
Ciudadanos - Partido de la Ciudadanía (Cs),0
Agrupación Socialista Gomera (ASG),3
Asambleas Municipales de Fuerteventura (AMF),0
Partido Nacionalista Canario (PNC),0
Reunir Canarias Sostenible,0
Ahora Canarias - Partido Comunista del Pueblo Canario (Ahora Canarias-PCPC),0
Hablemos Ahora,0
Más Canarias (+C),0
Ahora tú (AT),0
Tercera Edad en Acción (3e en Acción),0
Agrupación Herreña Independiente (AHI),1
Iniciativa por la Gomera (IxLG),0
País con Gestores,0
Asamblea Herreña,0
Movimiento Alternativo Electoral (MAE),0
Contigo Somos Democracia (Contigo),0
Unión Democrática Canaria (UDC),0
