TIME_PERIOD#es,TERRITORIO#es,OBS_VALUE
1998,Lanzarote,84849
1999,Lanzarote,90375
2000,Lanzarote,96310
2001,Lanzarote,103044
2002,Lanzarote,109942
2003,Lanzarote,114715
2004,Lanzarote,116782
2005,Lanzarote,123039
2006,Lanzarote,127457
2007,Lanzarote,132366
2008,Lanzarote,139506
2009,Lanzarote,141938
2010,Lanzarote,141437
2011,Lanzarote,142517
2012,Lanzarote,142132
2013,Lanzarote,141953
2014,Lanzarote,141940
2015,Lanzarote,143209
2016,Lanzarote,145084
2017,Lanzarote,147023
2018,Lanzarote,149183
2019,Lanzarote,152289
2020,Lanzarote,155812
2021,Lanzarote,156189
2022,Lanzarote,156112
1998,Fuerteventura,49020
1999,Fuerteventura,53903
2000,Fuerteventura,60124
2001,Fuerteventura,66025
2002,Fuerteventura,69762
2003,Fuerteventura,74983
2004,Fuerteventura,79986
2005,Fuerteventura,86642
2006,Fuerteventura,89680
2007,Fuerteventura,94386
2008,Fuerteventura,100929
2009,Fuerteventura,103167
2010,Fuerteventura,103492
2011,Fuerteventura,104072
2012,Fuerteventura,106456
2013,Fuerteventura,109174
2014,Fuerteventura,106930
2015,Fuerteventura,107367
2016,Fuerteventura,107521
2017,Fuerteventura,110299
2018,Fuerteventura,113275
2019,Fuerteventura,116886
2020,Fuerteventura,119732
2021,Fuerteventura,119662
2022,Fuerteventura,120021
1998,Gran Canaria,715994
1999,Gran Canaria,728391
2000,Gran Canaria,741161
2001,Gran Canaria,755489
2002,Gran Canaria,771333
2003,Gran Canaria,789908
2004,Gran Canaria,790360
2005,Gran Canaria,802247
2006,Gran Canaria,807049
2007,Gran Canaria,815379
2008,Gran Canaria,829597
2009,Gran Canaria,838397
2010,Gran Canaria,845676
2011,Gran Canaria,850391
2012,Gran Canaria,852225
2013,Gran Canaria,852723
2014,Gran Canaria,851157
2015,Gran Canaria,847830
2016,Gran Canaria,845195
2017,Gran Canaria,843158
2018,Gran Canaria,846717
2019,Gran Canaria,851231
2020,Gran Canaria,855521
2021,Gran Canaria,852688
2022,Gran Canaria,853262
1998,Tenerife,677485
1999,Tenerife,692366
2000,Tenerife,709365
2001,Tenerife,744076
2002,Tenerife,778071
2003,Tenerife,799889
2004,Tenerife,812839
2005,Tenerife,838877
2006,Tenerife,852945
2007,Tenerife,865070
2008,Tenerife,886033
2009,Tenerife,899833
2010,Tenerife,906854
2011,Tenerife,908555
2012,Tenerife,898680
2013,Tenerife,897582
2014,Tenerife,889936
2015,Tenerife,888184
2016,Tenerife,891111
2017,Tenerife,894636
2018,Tenerife,904713
2019,Tenerife,917841
2020,Tenerife,928604
2021,Tenerife,927993
2022,Tenerife,931646
1998,La Gomera,16790
1999,La Gomera,17153
2000,La Gomera,18300
2001,La Gomera,18990
2002,La Gomera,19098
2003,La Gomera,19580
2004,La Gomera,21220
2005,La Gomera,21746
2006,La Gomera,21952
2007,La Gomera,22259
2008,La Gomera,22622
2009,La Gomera,22769
2010,La Gomera,22776
2011,La Gomera,23076
2012,La Gomera,22350
2013,La Gomera,21153
2014,La Gomera,20721
2015,La Gomera,20783
2016,La Gomera,20940
2017,La Gomera,20976
2018,La Gomera,21136
2019,La Gomera,21503
2020,La Gomera,21678
2021,La Gomera,21734
2022,La Gomera,21798
1998,La Palma,78198
1999,La Palma,82419
2000,La Palma,82483
2001,La Palma,84319
2002,La Palma,85547
2003,La Palma,85631
2004,La Palma,84282
2005,La Palma,85252
2006,La Palma,86062
2007,La Palma,85933
2008,La Palma,86528
2009,La Palma,86996
2010,La Palma,87324
2011,La Palma,87163
2012,La Palma,85468
2013,La Palma,85115
2014,La Palma,83456
2015,La Palma,82346
2016,La Palma,81486
2017,La Palma,81350
2018,La Palma,81863
2019,La Palma,82671
2020,La Palma,83458
2021,La Palma,83380
2022,La Palma,83439
1998,El Hierro,7679
1999,El Hierro,8082
2000,El Hierro,8533
2001,El Hierro,9423
2002,El Hierro,10002
2003,El Hierro,10162
2004,El Hierro,10071
2005,El Hierro,10477
2006,El Hierro,10688
2007,El Hierro,10558
2008,El Hierro,10753
2009,El Hierro,10892
2010,El Hierro,10960
2011,El Hierro,10995
2012,El Hierro,11033
2013,El Hierro,10979
2014,El Hierro,10675
2015,El Hierro,10587
2016,El Hierro,10587
2017,El Hierro,10679
2018,El Hierro,10798
2019,El Hierro,10968
2020,El Hierro,11147
2021,El Hierro,11298
2022,El Hierro,11423
