EVENTO#es,NACIONALIDAD#es,OBS_VALUE
Fiestas Lustrales de la Bajada de la Virgen de las Nieves,España,
Puente de diciembre,España,53818
Carnavales,España,61286
Puente de todos los santos,España,56197
Semana Santa larga,España,108810
Semana Santa corta,España,56885
Ironman Lanzarote (quincena previa),España,
Festival Mueca,España,
Festival Womad Las Palmas de Gran Canaria,España,
Ironman Lanzarote (semana previa),España,
Gay Pride Maspalomas,España,
Fiestas Lustrales de la Bajada de la Virgen de las Nieves,Alemania,
Puente de diciembre,Alemania,34569
Carnavales,Alemania,18090
Puente de todos los santos,Alemania,78237
Semana Santa larga,Alemania,70710
Semana Santa corta,Alemania,33813
Ironman Lanzarote (quincena previa),Alemania,
Festival Mueca,Alemania,
Festival Womad Las Palmas de Gran Canaria,Alemania,
Ironman Lanzarote (semana previa),Alemania,
Gay Pride Maspalomas,Alemania,
Fiestas Lustrales de la Bajada de la Virgen de las Nieves,Bélgica,
Puente de diciembre,Bélgica,5245
Carnavales,Bélgica,1993
Puente de todos los santos,Bélgica,22560
Semana Santa larga,Bélgica,10524
Semana Santa corta,Bélgica,2576
Ironman Lanzarote (quincena previa),Bélgica,
Festival Mueca,Bélgica,
Festival Womad Las Palmas de Gran Canaria,Bélgica,
Ironman Lanzarote (semana previa),Bélgica,
Gay Pride Maspalomas,Bélgica,
Fiestas Lustrales de la Bajada de la Virgen de las Nieves,Dinamarca,
Puente de diciembre,Dinamarca,6306
Carnavales,Dinamarca,1208
Puente de todos los santos,Dinamarca,10056
Semana Santa larga,Dinamarca,10971
Semana Santa corta,Dinamarca,4015
Ironman Lanzarote (quincena previa),Dinamarca,
Festival Mueca,Dinamarca,
Festival Womad Las Palmas de Gran Canaria,Dinamarca,
Ironman Lanzarote (semana previa),Dinamarca,
Gay Pride Maspalomas,Dinamarca,
Fiestas Lustrales de la Bajada de la Virgen de las Nieves,Francia,
Puente de diciembre,Francia,6985
Carnavales,Francia,4993
Puente de todos los santos,Francia,27752
Semana Santa larga,Francia,24159
Semana Santa corta,Francia,13002
Ironman Lanzarote (quincena previa),Francia,
Festival Mueca,Francia,
Festival Womad Las Palmas de Gran Canaria,Francia,
Ironman Lanzarote (semana previa),Francia,
Gay Pride Maspalomas,Francia,
Fiestas Lustrales de la Bajada de la Virgen de las Nieves,Países Bajos,
Puente de diciembre,Países Bajos,8159
Carnavales,Países Bajos,4582
Puente de todos los santos,Países Bajos,11003
Semana Santa larga,Países Bajos,11057
Semana Santa corta,Países Bajos,6115
Ironman Lanzarote (quincena previa),Países Bajos,
Festival Mueca,Países Bajos,
Festival Womad Las Palmas de Gran Canaria,Países Bajos,
Ironman Lanzarote (semana previa),Países Bajos,
Gay Pride Maspalomas,Países Bajos,
Fiestas Lustrales de la Bajada de la Virgen de las Nieves,Reino Unido,
Puente de diciembre,Reino Unido,64451
Carnavales,Reino Unido,47036
Puente de todos los santos,Reino Unido,120873
Semana Santa larga,Reino Unido,118070
Semana Santa corta,Reino Unido,56592
Ironman Lanzarote (quincena previa),Reino Unido,
Festival Mueca,Reino Unido,
Festival Womad Las Palmas de Gran Canaria,Reino Unido,
Ironman Lanzarote (semana previa),Reino Unido,
Gay Pride Maspalomas,Reino Unido,
Fiestas Lustrales de la Bajada de la Virgen de las Nieves,Suecia,
Puente de diciembre,Suecia,11625
Carnavales,Suecia,346
Puente de todos los santos,Suecia,27698
Semana Santa larga,Suecia,8498
Semana Santa corta,Suecia,3607
Ironman Lanzarote (quincena previa),Suecia,
Festival Mueca,Suecia,
Festival Womad Las Palmas de Gran Canaria,Suecia,
Ironman Lanzarote (semana previa),Suecia,
Gay Pride Maspalomas,Suecia,
Fiestas Lustrales de la Bajada de la Virgen de las Nieves,Otros países o territorios del mundo (excluida España),
Puente de diciembre,Otros países o territorios del mundo (excluida España),50794
Carnavales,Otros países o territorios del mundo (excluida España),24026
Puente de todos los santos,Otros países o territorios del mundo (excluida España),90053
Semana Santa larga,Otros países o territorios del mundo (excluida España),75848
Semana Santa corta,Otros países o territorios del mundo (excluida España),37181
Ironman Lanzarote (quincena previa),Otros países o territorios del mundo (excluida España),
Festival Mueca,Otros países o territorios del mundo (excluida España),
Festival Womad Las Palmas de Gran Canaria,Otros países o territorios del mundo (excluida España),
Ironman Lanzarote (semana previa),Otros países o territorios del mundo (excluida España),
Gay Pride Maspalomas,Otros países o territorios del mundo (excluida España),
